work,fnlwgt,education,marital,occupation,sex,capitalgain,capitalloss,hoursperweek,race,income
Private,693066,edu1,Single,Other-service,Female,0,0,15,White,<=50K
Private,153869,edu1,Married,Craft-repair,Male,0,0,40,White,<=50K
State-gov,199806,edu3,Married,Adm-clerical,Male,0,0,40,White,>50K
Private,129707,edu2,Married,Sales,Male,0,1848,40,White,>50K
Private,158800,edu3,Married,Prof-specialty,Male,0,0,40,White,>50K
Private,99651,edu3,Married,Exec-managerial,Male,5178,0,40,White,>50K
Federal-gov,130454,edu3,Married,Prof-specialty,Male,0,0,40,White,>50K
Federal-gov,266598,edu2,Married,Prof-specialty,Male,0,0,40,White,>50K
Private,156797,edu2,Single,Machine-op-inspct,Female,0,0,40,White,<=50K
Private,108140,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,127651,edu3,Married,Exec-managerial,Male,0,0,55,White,>50K
Private,33126,edu3,Single,Other-service,Male,0,0,45,White,<=50K
Private,563883,edu2,Married,Craft-repair,Male,0,0,60,Black,>50K
Private,175925,edu2,Married,Exec-managerial,Male,0,0,60,White,>50K
Private,162572,edu2,Single,Transport-moving,Male,0,0,60,White,<=50K
Private,293091,edu2,Married,Handlers-cleaners,Male,0,0,40,White,<=50K
Private,140426,edu3,Married,Tech-support,Male,0,1977,40,White,>50K
Private,216853,edu2,Married,Exec-managerial,Male,0,0,37,White,<=50K
Self-emp-not-inc,33300,edu3,Single,Farming-fishing,Male,10520,0,45,White,>50K
Private,220748,edu2,Single,Handlers-cleaners,Male,0,0,48,Black,<=50K
Local-gov,49325,edu1,Married,Other-service,Male,0,0,40,White,<=50K
Private,64167,edu3,Single,Tech-support,Female,0,0,40,Black,<=50K
Private,177287,edu2,Single,Adm-clerical,Female,0,0,30,White,<=50K
Private,39530,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Federal-gov,48458,edu2,Single,Adm-clerical,Female,0,0,40,Black,<=50K
Private,143372,edu1,Single,Adm-clerical,Female,0,0,40,Black,<=50K
Private,29762,edu2,Married,Craft-repair,Male,0,0,60,White,<=50K
Private,243660,edu2,Married,Transport-moving,Male,0,0,40,White,<=50K
Private,192698,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Local-gov,181220,edu2,Single,Adm-clerical,Female,0,0,20,Black,<=50K
Private,134367,edu3,Married,Exec-managerial,Female,0,0,37,White,>50K
Private,179673,edu2,Married,Machine-op-inspct,Male,0,0,40,White,>50K
Private,46044,edu3,Married,Exec-managerial,Male,0,0,40,White,<=50K
Private,194141,edu2,Single,Machine-op-inspct,Male,0,0,50,White,<=50K
Private,186256,edu2,Married,Prof-specialty,Male,5013,0,30,White,<=50K
Private,327886,edu3,Single,Prof-specialty,Male,0,0,40,White,>50K
Self-emp-inc,150533,edu3,Married,Exec-managerial,Male,0,0,50,White,<=50K
Private,231232,edu3,Married,Adm-clerical,Male,0,0,30,White,<=50K
Private,459556,edu3,Married,Craft-repair,Male,0,0,50,Black,<=50K
Private,90915,edu3,Single,Other-service,Female,0,0,15,Black,<=50K
Self-emp-not-inc,35236,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,168740,edu1,Single,Handlers-cleaners,Male,0,0,30,White,<=50K
Private,313749,edu3,Single,Prof-specialty,Female,0,0,10,White,<=50K
State-gov,304302,edu2,Married,Transport-moving,Male,0,0,40,Amer-Indian-Eskimo,<=50K
Private,254711,edu3,Married,Sales,Male,0,0,20,White,>50K
Private,217747,edu2,Married,Transport-moving,Male,0,0,40,Black,>50K
Private,208656,edu2,Single,Adm-clerical,Female,594,0,20,White,<=50K
Private,149902,edu2,Single,Exec-managerial,Female,0,0,40,Black,<=50K
Private,56269,edu2,Single,Craft-repair,Male,0,0,40,Black,<=50K
Private,182701,edu2,Single,Other-service,Female,0,0,12,White,<=50K
Private,200922,edu1,Single,Machine-op-inspct,Female,0,0,40,White,<=50K
Private,347960,edu3,Single,Prof-specialty,Female,14084,0,35,White,>50K
Self-emp-not-inc,95708,edu3,Single,Exec-managerial,Male,0,0,45,Asian-Pac-Islander,>50K
Private,311101,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,42696,edu2,Married,Other-service,Female,0,0,40,White,<=50K
Private,170310,edu1,Married,Transport-moving,Male,0,0,40,White,<=50K
Private,349884,edu1,Married,Craft-repair,Male,0,0,35,White,<=50K
Private,216730,edu1,Single,Other-service,Male,0,0,12,White,<=50K
