year,marital,divorce,childs,age,educ,sex,race,relig,xmovie,pornlaw,hapmar
1984,married,ds_yes,1,99,12,female,white,protestant,x_no,illegal,nottoohappy
2006,married,ds_no,5,41,16,female,white,protestant,x_no,illegalillegal8,nottoohappy
1990,married,ds_yes,3,43,14,male,black,protestant,x_yes,illegalillegal8,nottoohappy
1973,married,ds_no,6,37,8,male,white,catholic,x_no,illegal,nottoohappy
1984,married,ds_no,2,38,4,male,white,none,x_no,legal,nottoohappy
2016,married,ds_no,2,46,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1976,married,noanswer,2,59,12,female,white,catholic,x_no,illegal,nottoohappy
2006,married,ds_no,2,63,6,male,black,protestant,x_no,illegalillegal8,nottoohappy
1983,married,ds_no,3,58,13,male,white,protestant,x_yes,illegalillegal8,nottoohappy
2012,married,ds_yes,3,55,12,female,white,protestant,x_no,illegal,nottoohappy
1998,married,ds_no,2,44,11,male,black,protestant,x_no,illegalillegal8,nottoohappy
2006,married,ds_yes,4,39,16,female,other,catholic,x_no,illegal,nottoohappy
2006,married,ds_no,2,49,12,male,black,none,x_no,illegalillegal8,nottoohappy
1984,married,ds_no,1,39,17,female,white,protestant,x_no,illegalillegal8,nottoohappy
2010,married,ds_no,2,80,12,female,white,protestant,x_no,illegal,nottoohappy
1996,married,ds_yes,2,29,14,female,white,protestant,x_no,illegal,nottoohappy
1988,married,ds_no,2,39,16,female,white,jewish,x_yes,illegalillegal8,nottoohappy
2016,married,ds_no,4,75,14,male,black,none,x_yes,illegal,nottoohappy
2014,married,ds_yes,5,54,14,male,white,jewish,x_no,illegal,nottoohappy
1980,married,ds_no,6,41,10,female,black,protestant,x_no,illegalillegal8,nottoohappy
1996,married,ds_yes,4,50,6,female,white,catholic,x_no,illegal,nottoohappy
2018,married,ds_no,3,25,13,female,white,none,x_no,illegalillegal8,nottoohappy
2014,married,ds_yes,2,40,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1973,married,ds_no,0,55,12,female,black,protestant,x_no,noanswer,nottoohappy
1973,married,ds_no,8,49,0,female,white,none,x_no,illegal,nottoohappy
1984,married,ds_yes,3,24,10,female,white,protestant,x_yes,legal,nottoohappy
1993,married,ds_no,4,47,18,male,white,catholic,x_no,illegal,nottoohappy
1973,married,ds_no,4,38,12,female,white,other,x_no,illegal,nottoohappy
1983,married,ds_yes,5,63,17,male,white,protestant,x_no,illegal,nottoohappy
2014,married,ds_no,2,50,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1984,married,ds_yes,1,31,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1973,married,ds_no,4,51,13,female,white,jewish,x_yes,illegalillegal8,nottoohappy
1986,married,ds_no,1,25,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1998,married,ds_no,4,54,17,female,white,protestant,x_no,illegal,nottoohappy
1983,married,ds_no,1,33,12,female,white,protestant,x_no,illegal,nottoohappy
1987,married,ds_no,2,25,12,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1998,married,ds_no,2,35,12,female,black,christian,x_no,illegal,nottoohappy
1994,married,ds_no,2,44,18,female,white,protestant,x_no,illegal,nottoohappy
2012,married,ds_no,2,49,16,female,black,christian,x_no,illegalillegal8,nottoohappy
1988,married,ds_no,1,23,11,female,white,catholic,x_yes,illegalillegal8,nottoohappy
2010,married,ds_no,5,70,2,female,other,catholic,x_no,illegal,nottoohappy
2014,married,ds_no,2,53,18,male,white,protestant,x_no,illegal,nottoohappy
2000,married,ds_yes,0,39,20,male,white,jewish,x_yes,illegalillegal8,nottoohappy
1993,married,ds_no,4,54,16,male,white,none,x_no,illegalillegal8,nottoohappy
1975,married,ds_no,3,42,11,male,white,protestant,x_no,illegalillegal8,nottoohappy
1983,married,ds_no,4,57,12,male,white,catholic,x_no,illegal,nottoohappy
2018,married,ds_no,2,66,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
2002,married,ds_yes,2,56,15,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1990,married,ds_yes,3,41,11,female,white,catholic,x_no,illegal,nottoohappy
1993,married,ds_no,3,31,16,female,white,protestant,x_no,illegalillegal8,nottoohappy
1976,married,ds_no,2,67,7,male,white,protestant,x_no,illegalillegal8,nottoohappy
2014,married,ds_no,2,58,16,female,other,buddhism,x_no,illegal,nottoohappy
2016,married,ds_no,1,44,12,female,black,none,x_no,illegal,nottoohappy
1978,married,ds_no,0,84,0,male,white,protestant,x_no,illegal,nottoohappy
1984,married,ds_yes,2,62,11,female,white,protestant,x_no,illegal,nottoohappy
2006,married,ds_yes,0,60,12,female,white,catholic,x_no,illegal,nottoohappy
1973,married,ds_yes,0,51,3,female,black,other,x_no,illegalillegal8,nottoohappy
1987,married,ds_no,5,41,12,female,black,protestant,x_no,illegalillegal8,nottoohappy
2016,married,ds_no,4,37,14,female,black,protestant,x_no,illegal,nottoohappy
1983,married,ds_no,2,48,7,female,white,catholic,x_no,illegal,nottoohappy
1991,married,ds_yes,3,30,13,female,black,protestant,x_no,illegalillegal8,nottoohappy
1989,married,ds_no,3,29,12,female,black,protestant,x_no,illegal,nottoohappy
1973,married,ds_no,6,70,12,female,white,protestant,x_no,illegal,nottoohappy
1996,married,ds_no,0,39,16,male,white,catholic,x_yes,illegal,nottoohappy
1983,married,ds_no,3,26,12,female,white,catholic,x_yes,legal,nottoohappy
1975,married,ds_no,4,45,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
2016,married,ds_no,6,41,10,male,white,none,x_no,illegalillegal8,nottoohappy
2004,married,ds_no,0,74,12,male,white,none,x_yes,noanswer,nottoohappy
1988,married,ds_no,2,60,13,female,white,protestant,x_no,illegal,nottoohappy
1986,married,ds_no,0,44,18,male,white,none,x_yes,legal,nottoohappy
2004,married,ds_no,3,65,12,male,white,catholic,x_no,illegalillegal8,nottoohappy
2014,married,ds_no,2,34,12,female,black,protestant,x_no,illegalillegal8,nottoohappy
1975,married,ds_no,3,58,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
2016,married,ds_no,3,56,12,female,black,protestant,x_no,illegalillegal8,nottoohappy
1973,married,ds_no,7,34,10,male,white,catholic,x_yes,illegalillegal8,nottoohappy
2010,married,ds_no,0,24,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1978,married,ds_no,4,49,12,female,white,protestant,x_no,illegal,nottoohappy
1989,married,ds_no,3,66,8,female,white,catholic,x_no,illegal,nottoohappy
1978,married,ds_yes,8,43,13,female,black,catholic,x_no,illegalillegal8,nottoohappy
1980,married,ds_no,4,45,8,female,white,catholic,x_no,legal,nottoohappy
1994,married,ds_yes,3,39,12,female,white,catholic,x_no,illegal,nottoohappy
2000,married,ds_no,1,29,10,female,white,catholic,x_yes,illegalillegal8,nottoohappy
2000,married,ds_yes,4,40,15,male,black,protestant,x_no,illegalillegal8,nottoohappy
1986,married,ds_no,2,32,12,female,white,catholic,x_yes,illegalillegal8,nottoohappy
1980,married,ds_no,2,24,12,male,white,protestant,x_yes,illegal,nottoohappy
1976,married,ds_no,0,33,7,male,white,protestant,x_no,illegal,nottoohappy
1983,married,ds_no,1,54,12,male,black,noanswer,x_no,illegalillegal8,nottoohappy
1988,married,ds_no,0,26,16,female,white,protestant,x_no,illegal,nottoohappy
1975,married,ds_no,2,20,9,female,white,none,x_no,illegalillegal8,nottoohappy
2000,married,ds_no,2,39,16,female,white,protestant,x_no,illegal,nottoohappy
1978,married,ds_no,2,27,7,female,white,catholic,x_no,illegalillegal8,nottoohappy
1983,married,ds_no,2,50,14,male,white,none,x_no,illegalillegal8,nottoohappy
1973,married,ds_no,1,50,14,female,white,protestant,x_no,illegal,nottoohappy
1976,married,ds_yes,2,39,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1991,married,ds_no,3,38,14,male,white,protestant,x_no,illegal,nottoohappy
2008,married,ds_no,1,48,16,male,white,protestant,x_no,illegalillegal8,nottoohappy
2018,married,ds_no,3,42,10,female,black,protestant,x_no,illegalillegal8,nottoohappy
1984,married,ds_yes,1,27,8,male,white,none,x_no,illegalillegal8,nottoohappy
1987,married,ds_yes,2,52,13,male,white,protestant,x_yes,illegalillegal8,nottoohappy
2006,married,ds_yes,2,52,12,female,white,protestant,x_no,illegal,nottoohappy
1975,married,ds_no,0,66,14,female,white,protestant,x_no,illegal,nottoohappy
1976,married,ds_no,2,49,16,female,white,protestant,x_no,illegal,nottoohappy
2004,married,ds_no,1,23,12,female,white,none,x_yes,illegalillegal8,nottoohappy
1973,married,ds_yes,6,39,13,male,white,protestant,x_no,illegalillegal8,nottoohappy
1987,married,ds_no,4,34,9,male,black,protestant,x_yes,illegalillegal8,nottoohappy
1993,married,ds_no,1,23,14,female,white,catholic,x_yes,illegalillegal8,nottoohappy
2000,married,ds_yes,0,49,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1975,married,ds_no,8,65,8,female,white,protestant,x_no,illegal,nottoohappy
2002,married,ds_yes,4,62,9,female,white,protestant,x_no,illegal,nottoohappy
2006,married,ds_no,3,48,16,female,white,protestant,x_no,illegal,nottoohappy
1987,married,ds_no,3,23,14,female,black,protestant,x_no,illegalillegal8,nottoohappy
