response_id,lottery,smoking,alcohol,gambling,skydiving,speeding,infidelity,steak,gender,age,income,education,location,steak_type
3234896919,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Male,45-60,,Some college or Associate degree,Pacific,Medium
3234947477,Lottery B,No,Yes,Yes,Yes,Yes,No,Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,Medium
3234870354,Lottery B,Yes,No,No,No,No,No,Yes,Female,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,Rare
3234926887,Lottery B,No,No,No,No,Yes,No,Yes,Male,30-44,"$50,000 - $99,999",Bachelor degree,,Medium
3234894892,Lottery B,No,Yes,No,No,Yes,No,Yes,Male,30-44,"$25,000 - $49,999",Bachelor degree,Pacific,Rare
3234813682,Lottery A,No,Yes,No,No,No,No,Yes,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,Medium
3234789052,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Female,45-60,"$50,000 - $99,999",Graduate degree,West North Central,Rare
3234869188,Lottery A,Yes,No,No,Yes,No,No,Yes,Female,18-29,"$25,000 - $49,999",High school degree,Middle Atlantic,Medium Well
3234771246,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,Medium Well
3234834715,Lottery B,No,Yes,No,No,Yes,No,Yes,Female,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,Rare
3234785679,Lottery A,No,No,Yes,No,No,No,Yes,Female,> 60,"$50,000 - $99,999",High school degree,Mountain,Medium
3234845146,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,Medium Well
3234779361,Lottery B,No,No,No,No,Yes,No,Yes,Male,> 60,"$100,000 - $149,999",Graduate degree,East South Central,Medium Well
3234945250,Lottery B,No,Yes,No,Yes,Yes,No,Yes,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,Medium Well
3234839875,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Female,30-44,"$25,000 - $49,999",Bachelor degree,New England,Medium rare
3234836354,Lottery A,No,Yes,No,Yes,Yes,No,Yes,Female,45-60,"$50,000 - $99,999",Bachelor degree,New England,Medium rare
3234791203,Lottery B,Yes,Yes,Yes,No,No,Yes,Yes,Female,30-44,"$50,000 - $99,999",Graduate degree,Mountain,Medium rare
3234828054,Lottery B,No,Yes,No,No,Yes,No,Yes,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain,Medium rare
3234803474,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Male,> 60,"$150,000+",Some college or Associate degree,South Atlantic,Medium
3234780649,Lottery A,No,Yes,No,No,Yes,No,Yes,Male,18-29,"$25,000 - $49,999",Graduate degree,West North Central,Medium
3234778259,Lottery A,No,Yes,No,No,Yes,No,Yes,Female,18-29,,Some college or Associate degree,East North Central,Medium
3234830173,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central,Medium rare
3234936804,Lottery B,No,No,No,No,Yes,No,Yes,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,Medium rare
3234839418,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,Medium
