response_id,lottery,smoking,alcohol,gambling,skydiving,speeding,infidelity,steak,gender,age,income,education,location,steak_type
3234982343,Lottery A,No,Yes,No,No,No,No,Yes,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,Medium rare
3234973379,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Male,> 60,"$150,000+",Graduate degree,South Atlantic,Rare
3234972383,Lottery B,Yes,Yes,Yes,No,Yes,Yes,Yes,Male,> 60,"$50,000 - $99,999",Bachelor degree,New England,Medium
3234958833,Lottery B,No,Yes,No,No,Yes,Yes,Yes,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,Medium
3234955240,Lottery A,No,No,No,No,Yes,No,Yes,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central,Medium rare
3234955010,Lottery A,No,Yes,Yes,Yes,Yes,No,Yes,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West North Central,Medium rare
3234953052,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,Medium
3234951249,Lottery B,No,Yes,Yes,No,No,No,Yes,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific,Medium rare
3234948883,Lottery B,No,Yes,No,No,Yes,No,Yes,Male,> 60,"$50,000 - $99,999",High school degree,South Atlantic,Medium rare
3234948197,Lottery A,No,No,Yes,No,Yes,No,Yes,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic,Medium rare
3234947477,Lottery B,No,Yes,Yes,Yes,Yes,No,Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,Medium
3234946739,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Male,18-29,"$50,000 - $99,999",Graduate degree,Pacific,Rare
3234945250,Lottery B,No,Yes,No,Yes,Yes,No,Yes,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,Medium Well
3234944270,Lottery A,No,Yes,No,No,Yes,No,Yes,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,Medium Well
3234941615,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,Medium
3234939289,Lottery A,No,Yes,Yes,No,No,No,Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,Medium rare
3234937720,Lottery B,No,No,No,No,Yes,No,Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,Medium rare
3234937709,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Male,18-29,"$25,000 - $49,999",Bachelor degree,West North Central,Medium rare
3234936804,Lottery B,No,No,No,No,Yes,No,Yes,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,Medium rare
3234936220,Lottery B,No,No,No,No,Yes,No,Yes,Male,45-60,"$0 - $24,999",Some college or Associate degree,East North Central,Medium rare
3234935763,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Male,18-29,"$50,000 - $99,999",High school degree,West North Central,Medium Well
3234935254,Lottery B,No,Yes,No,No,Yes,No,Yes,Male,45-60,"$25,000 - $49,999",Bachelor degree,West South Central,Medium
3234932801,Lottery B,Yes,Yes,Yes,No,No,No,Yes,Male,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,Medium rare
3234931630,Lottery A,No,Yes,No,No,Yes,No,Yes,Male,> 60,"$25,000 - $49,999",Graduate degree,East North Central,Medium
3234930461,Lottery A,No,No,No,No,Yes,No,Yes,Male,18-29,"$0 - $24,999",Graduate degree,South Atlantic,Medium
3234929351,Lottery B,Yes,Yes,No,No,Yes,No,Yes,Male,45-60,"$50,000 - $99,999",Graduate degree,East South Central,Medium
3234928702,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,Medium
3234927960,Lottery B,No,Yes,No,No,Yes,No,Yes,Male,18-29,"$25,000 - $49,999",High school degree,West South Central,Well
3234924769,Lottery A,No,Yes,Yes,Yes,Yes,No,Yes,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,Medium
3234924090,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific,Medium
3234923656,Lottery B,No,Yes,Yes,No,No,No,Yes,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,Medium
3234922597,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Male,> 60,"$0 - $24,999",High school degree,West South Central,Medium rare
3234922412,Lottery B,No,Yes,Yes,No,Yes,Yes,Yes,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,Medium
3234922346,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,Medium Well
3234921417,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central,Medium
3234918764,Lottery A,No,No,Yes,No,Yes,No,Yes,Male,45-60,"$0 - $24,999",Some college or Associate degree,New England,Medium rare
